asset, class, price, date-time, flags, quantity
RIZ5,SPBFUT,87431.009113645,2015-10-9T9-7-47.141,1026,1
RIZ5,SPBFUT,87416.807290916,2015-10-9T9-17-0.95,1,1
RIZ5,SPBFUT,87457.445832733,2015-10-9T9-17-41.827,2,1
RIZ5,SPBFUT,87443.956666186,2015-10-9T9-17-52.004,1,1
RIZ5,SPBFUT,87479.165332949,2015-10-9T9-27-42.883,2,1
RIZ5,SPBFUT,87509.332266359,2015-10-9T9-27-42.883,2,1
RIZ5,SPBFUT,87547.465813087,2015-10-9T9-27-42.883,2,3
RIZ5,SPBFUT,87593.97265047,2015-10-9T9-27-42.883,2,5
RIZ5,SPBFUT,87675.178120376,2015-10-9T9-27-42.906,2,7
RIZ5,SPBFUT,87740.142496301,2015-10-9T9-27-42.906,2,3
RIZ5,SPBFUT,87792.113997041,2015-10-9T9-27-42.906,2,1
RIZ5,SPBFUT,87833.691197632,2015-10-9T9-27-42.906,2,2
RIZ5,SPBFUT,87866.952958106,2015-10-9T9-27-42.933,2,1
RIZ5,SPBFUT,87893.562366485,2015-10-9T9-27-42.933,2,2
RIZ5,SPBFUT,87804.849893188,2015-10-9T9-27-42.94,1,2
RIZ5,SPBFUT,87843.87991455,2015-10-9T9-27-42.94,2,1
RIZ5,SPBFUT,87875.10393164,2015-10-9T9-28-32.552,2,1
RIZ5,SPBFUT,87790.083145312,2015-10-9T9-29-3.01,1,1
RIZ5,SPBFUT,87832.06651625,2015-10-9T9-29-3.054,2,1
RIZ5,SPBFUT,87865.653213,2015-10-9T9-29-14.41,2,1
RIZ5,SPBFUT,87782.5225704,2015-10-9T9-29-36.839,1,1
RIZ5,SPBFUT,87718.01805632,2015-10-9T9-31-22.977,1,1
RIZ5,SPBFUT,87664.414445056,2015-10-9T9-31-22.977,1,1
RIZ5,SPBFUT,87621.531556045,2015-10-9T9-31-22.977,1,1
RIZ5,SPBFUT,87569.225244836,2015-10-9T9-31-22.977,1,1
RIZ5,SPBFUT,87527.380195869,2015-10-9T9-31-22.977,1,2
RIZ5,SPBFUT,87491.904156695,2015-10-9T9-31-22.977,1,2
RIZ5,SPBFUT,87591.523325356,2015-10-9T9-32-7.682,2,1
RIZ5,SPBFUT,87673.218660285,2015-10-9T9-32-7.682,2,1
RIZ5,SPBFUT,87738.574928228,2015-10-9T9-32-7.682,2,1
RIZ5,SPBFUT,87790.859942582,2015-10-9T9-32-7.682,2,3
RIZ5,SPBFUT,87836.687954066,2015-10-9T9-32-7.682,2,2
RIZ5,SPBFUT,87739.350363253,2015-10-9T9-32-35.502,1,8
RIZ5,SPBFUT,87691.480290602,2015-10-9T9-48-31.514,1,1
