asset, class, price, date-time, flags, quantity
SiZ5,SPBFUT,62731.805736813,2015-10-9T9-48-23.666,1025,1
SiZ5,SPBFUT,62705.64458945,2015-10-9T9-53-27.441,1,1
SiZ5,SPBFUT,62688.51567156,2015-10-9T9-53-41.48,2,1
SiZ5,SPBFUT,62674.812537248,2015-10-9T10-0-0.079,2,1
SiZ5,SPBFUT,62663.850029799,2015-10-9T10-0-0.079,2,9
SiZ5,SPBFUT,62655.080023839,2015-10-9T10-0-0.276,2,1
SiZ5,SPBFUT,62648.264019071,2015-10-9T10-0-0.276,2,1
SiZ5,SPBFUT,62642.811215257,2015-10-9T10-0-0.902,2,1
SiZ5,SPBFUT,62676.248972206,2015-10-9T10-0-0.902,2,1
SiZ5,SPBFUT,62661.799177764,2015-10-9T10-0-1.007,1,2
SiZ5,SPBFUT,62649.439342212,2015-10-9T10-0-1.007,1,1
SiZ5,SPBFUT,62639.551473769,2015-10-9T10-0-1.007,1,4
SiZ5,SPBFUT,62631.641179015,2015-10-9T10-0-1.007,1,13
SiZ5,SPBFUT,62625.312943212,2015-10-9T10-0-1.028,1,20
SiZ5,SPBFUT,62620.25035457,2015-10-9T10-0-1.3,1,17
SiZ5,SPBFUT,62602.600283656,2015-10-9T10-0-1.3,1,5
SiZ5,SPBFUT,62588.280226925,2015-10-9T10-0-1.3,1,10
SiZ5,SPBFUT,62576.62418154,2015-10-9T10-0-1.3,1,1
SiZ5,SPBFUT,62565.499345232,2015-10-9T10-0-1.3,1,1
SiZ5,SPBFUT,62555.799476185,2015-10-9T10-0-1.3,1,3
SiZ5,SPBFUT,62547.639580948,2015-10-9T10-0-1.3,1,1
SiZ5,SPBFUT,62541.111664759,2015-10-9T10-0-1.3,1,2
SiZ5,SPBFUT,62535.889331807,2015-10-9T10-0-1.3,1,1
SiZ5,SPBFUT,62529.711465446,2015-10-9T10-0-1.3,1,1
SiZ5,SPBFUT,62523.769172356,2015-10-9T10-0-1.3,1,7
SiZ5,SPBFUT,62519.015337885,2015-10-9T10-0-1.3,1,5
SiZ5,SPBFUT,62515.212270308,2015-10-9T10-0-1.3,1,5
SiZ5,SPBFUT,62512.169816247,2015-10-9T10-0-1.3,1,1
SiZ5,SPBFUT,62509.735852997,2015-10-9T10-0-1.3,1,2
SiZ5,SPBFUT,62507.788682398,2015-10-9T10-0-1.3,1,2
SiZ5,SPBFUT,62506.230945918,2015-10-9T10-0-1.3,1,1
SiZ5,SPBFUT,62504.984756735,2015-10-9T10-0-1.3,1,10
SiZ5,SPBFUT,62502.987805388,2015-10-9T10-0-1.3,1,35
SiZ5,SPBFUT,62498.39024431,2015-10-9T10-0-1.3,1,100
SiZ5,SPBFUT,62490.512195448,2015-10-9T10-0-1.3,1,1
SiZ5,SPBFUT,62484.009756358,2015-10-9T10-0-1.3,1,7
SiZ5,SPBFUT,62478.807805087,2015-10-9T10-0-1.672,1,2
SiZ5,SPBFUT,62483.046244069,2015-10-9T10-0-1.783,2,1
SiZ5,SPBFUT,62504.436995256,2015-10-9T10-0-1.783,2,17
SiZ5,SPBFUT,62495.349596204,2015-10-9T10-0-2.506,1,1
SiZ5,SPBFUT,62487.879676964,2015-10-9T10-0-2.506,1,51
SiZ5,SPBFUT,62479.903741571,2015-10-9T10-0-2.506,1,1
SiZ5,SPBFUT,62472.922993257,2015-10-9T10-0-2.506,1,35
SiZ5,SPBFUT,62463.338394605,2015-10-9T10-0-2.506,1,1
SiZ5,SPBFUT,62488.470715684,2015-10-9T10-0-2.53,2,1
SiZ5,SPBFUT,62473.976572547,2015-10-9T10-0-6.747,1,6
SiZ5,SPBFUT,62462.181258038,2015-10-9T10-0-6.747,1,1
SiZ5,SPBFUT,62449.74500643,2015-10-9T10-0-6.747,1,1
SiZ5,SPBFUT,62437.196005144,2015-10-9T10-0-6.747,1,32
SiZ5,SPBFUT,62426.556804115,2015-10-9T10-0-6.747,1,1
SiZ5,SPBFUT,62415.245443292,2015-10-9T10-0-6.747,1,1
SiZ5,SPBFUT,62405.996354634,2015-10-9T10-0-6.747,1,48
SiZ5,SPBFUT,62398.597083707,2015-10-9T10-0-6.78,1,2
SiZ5,SPBFUT,62392.677666966,2015-10-9T10-0-7.08,1,2
SiZ5,SPBFUT,62384.342133573,2015-10-9T10-0-7.08,1,2
SiZ5,SPBFUT,62377.673706858,2015-10-9T10-0-7.236,1,1
SiZ5,SPBFUT,62372.138965486,2015-10-9T10-0-7.236,1,1
SiZ5,SPBFUT,62364.311172389,2015-10-9T10-0-8.688,1,1
SiZ5,SPBFUT,62358.048937911,2015-10-9T10-0-8.949,1,2
SiZ5,SPBFUT,62353.039150329,2015-10-9T10-0-8.989,1,12
SiZ5,SPBFUT,62349.231320263,2015-10-9T10-0-9.059,2,12
SiZ5,SPBFUT,62345.985056211,2015-10-9T10-0-9.125,1,12
SiZ5,SPBFUT,62345.188044968,2015-10-9T10-0-10.541,1,1
SiZ5,SPBFUT,62345.350435975,2015-10-9T10-0-11.772,1,12
SiZ5,SPBFUT,62345.28034878,2015-10-9T10-0-11.772,1,6
SiZ5,SPBFUT,62342.824279024,2015-10-9T10-0-11.772,1,20
SiZ5,SPBFUT,62341.059423219,2015-10-9T10-0-14.448,1,1
SiZ5,SPBFUT,62339.447538575,2015-10-9T10-0-14.448,1,4
SiZ5,SPBFUT,62338.15803086,2015-10-9T10-0-14.92,1,2
SiZ5,SPBFUT,62337.126424688,2015-10-9T10-0-15.804,1,2
SiZ5,SPBFUT,62336.301139751,2015-10-9T10-0-15.859,1,4
SiZ5,SPBFUT,62335.6409118,2015-10-9T10-0-15.914,1,2
SiZ5,SPBFUT,62335.11272944,2015-10-9T10-0-15.991,1,2
SiZ5,SPBFUT,62334.690183552,2015-10-9T10-0-16.191,1,3
SiZ5,SPBFUT,62334.352146842,2015-10-9T10-0-16.498,1,1
SiZ5,SPBFUT,62334.081717473,2015-10-9T10-0-17.264,1,300
SiZ5,SPBFUT,62333.865373979,2015-10-9T10-0-17.333,1,6
SiZ5,SPBFUT,62333.692299183,2015-10-9T10-0-17.745,1,2
SiZ5,SPBFUT,62333.553839346,2015-10-9T10-0-17.89,1,1
SiZ5,SPBFUT,62333.443071477,2015-10-9T10-0-18.374,1,100
SiZ5,SPBFUT,62333.354457182,2015-10-9T10-0-18.546,1,1
SiZ5,SPBFUT,62333.483565745,2015-10-9T10-0-18.812,2,2
SiZ5,SPBFUT,62333.586852596,2015-10-9T10-0-18.872,2,2
SiZ5,SPBFUT,62333.469482077,2015-10-9T10-0-18.924,1,2
SiZ5,SPBFUT,62333.575585662,2015-10-9T10-0-19.612,1,2
SiZ5,SPBFUT,62333.660468529,2015-10-9T10-0-19.612,1,6
SiZ5,SPBFUT,62333.528374823,2015-10-9T10-0-19.612,1,18
SiZ5,SPBFUT,62333.422699859,2015-10-9T10-0-19.66,1,2
SiZ5,SPBFUT,62333.338159887,2015-10-9T10-0-19.807,1,1
SiZ5,SPBFUT,62333.27052791,2015-10-9T10-0-20.661,1,2
SiZ5,SPBFUT,62333.216422328,2015-10-9T10-0-21.861,1,2
SiZ5,SPBFUT,62333.173137862,2015-10-9T10-0-23.451,1,6
SiZ5,SPBFUT,62333.13851029,2015-10-9T10-0-24.225,1,16
SiZ5,SPBFUT,62333.110808232,2015-10-9T10-0-24.865,1,3
SiZ5,SPBFUT,62333.088646585,2015-10-9T10-0-24.92,1,6
SiZ5,SPBFUT,62333.270917268,2015-10-9T10-0-26.082,1,6
SiZ5,SPBFUT,62333.216733815,2015-10-9T10-0-26.082,1,10
SiZ5,SPBFUT,62333.173387052,2015-10-9T10-0-26.141,1,22
SiZ5,SPBFUT,62333.138709641,2015-10-9T10-0-26.183,1,200
SiZ5,SPBFUT,62333.110967713,2015-10-9T10-0-26.404,1,5
SiZ5,SPBFUT,62344.68877417,2015-10-9T10-0-26.89,2,1
SiZ5,SPBFUT,62342.351019336,2015-10-9T10-0-27.649,1,3
SiZ5,SPBFUT,62340.480815469,2015-10-9T10-0-29.057,1,2
SiZ5,SPBFUT,62347.584652375,2015-10-9T10-0-30.412,2,2
SiZ5,SPBFUT,62356.8677219,2015-10-9T10-0-30.412,2,3
SiZ5,SPBFUT,62364.29417752,2015-10-9T10-0-30.6,2,2
SiZ5,SPBFUT,62453.435342016,2015-10-9T10-0-30.6,2,8
SiZ5,SPBFUT,62528.548273613,2015-10-9T10-0-30.6,2,5
